Comment;Designator;Footprint;LCSC
1uF;C16;C_0805_2012Metric;C28323
2k2;R2;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;
2k2;R3;R_0402_1005Metric_Pad0.72x0.64mm_HandSolder;
2u2;C1;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C12530
2u2;C2;C_0402_1005Metric_Pad0.74x0.62mm_HandSolder;C12530
2u7 120m;L1;L_0402_1005Metric;
32KHz;Y2;Crystal_SMD_3215-2Pin_3.2x1.5mm;
4;7uF;C33;C_0603_1608Metric
4.7uF;C14;C_0603_1608Metric;
4.7uF;C19;C_0603_1608Metric;
500mA;F1;Fuse_0805_2012Metric;
AO3401A;Q1;SOT-23;C15127
BUTTON;J7;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
BUTTON;J14;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
BUTTON;J10;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
BUTTON;J8;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
BUTTON;J9;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
BUTTON;J15;Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical;C114130
Conn_01x04_Male;J5;Molex_Micro-Latch_53254-0470_1x04_P2.00mm_Horizontal;C293629
Conn_01x06_Male;J2;PinHeader_1x06_P1.27mm_Vertical;
Conn_01x06_Male;J1;Molex_Micro-Latch_53254-0670_1x06_P2.00mm_Horizontal;C585951
Conn_01x10;J12;Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical;C505021
D_TVS;D4;D_SMA;C1509532
DBG;J11;PinHeader_2x03_P1.27mm_Vertical;
LDO40LPU33RY;IC1;SON95P300X300X90-7N-D;
LDO40LPU50RY;IC2;SON95P300X300X90-7N-D;
LED_Small;D1;LED_0805_2012Metric;C84256
MCP2561-E-SN;U2;SOIC-8_3.9x4.9mm_P1.27mm;C219833
MCP2561-E-SN;U3;SOIC-8_3.9x4.9mm_P1.27mm;C219833
NL27WZ14DTT1G;IC4;SOT95P275X110-6N;C233559
POWER;J16;PinHeader_1x02_P2.54mm_Vertical;
SolderJumper_3_Open;JP1;SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm;
STM32F405RGTx;U1;LQFP-64_10x10mm_P0.5mm;C1337199
TIM;J17;Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical;
